name,score,sportsman_id,uuid
headed,73,SM397726711,a940e779-28ea-4c4f-8694-7c75bbfb0aaf
pass,19,SM397726711,a25b4249-3cbf-4cbb-b725-e9da6c4f220d
defend,74,SM397726711,d40b570b-99c4-4cb4-ac64-9214bb06cce1
skill,30,SM397726711,a90fc14f-a64e-46f2-9716-6613d68da021
speed,42,SM344900800,0f7cdc4c-fe64-4b53-aec7-2fec90beb5a9
stamina,51,SM344900800,4d5d7688-8aa6-4fa8-b688-4595119e71cd
shoot,30,SM344900800,9a071cd0-b236-4270-874e-4702d160d11d
headed,13,SM344900800,5ed82881-d8a6-4c1e-a702-4ff3d10b59b6
pass,24,SM344900800,b29dd869-992d-451b-9d2d-04f4eec09d9b
defend,78,SM344900800,0ca18034-e949-4cc5-ad65-2a8add1e8df5
skill,65,SM344900800,83108d0c-1eb9-4b3f-b9bd-76f25bd64d0a
speed,25,SM913889028,a341807a-5b29-4c8a-bcff-161198ca7771
stamina,34,SM913889028,69627400-1cf6-4131-aa69-afef4710d516
shoot,29,SM913889028,3bd9004f-4204-4723-87bf-412f301d106b
headed,1,SM913889028,16e5dd78-03bf-46d2-915a-ec29ae3c6e40
pass,5,SM913889028,1ea0e2f5-7d3e-4d8e-a485-fbc56c3eed57
defend,50,SM913889028,33e1cbc6-5a9f-4ee8-acdb-8cb923a62be0
skill,52,SM913889028,f7445760-1b91-47b7-a624-42d7c70473e1
speed,20,SM118473181,4a07b292-2337-4629-bff4-c14274eda181
stamina,59,SM118473181,25df0bfd-c3f6-4e17-bf44-114b16c1fb45
shoot,22,SM118473181,d237ddc9-4549-4b89-b64b-adc9d957a23f
headed,12,SM118473181,7ab67085-a571-49b9-83d7-2df288f1ec75
pass,20,SM118473181,50cef72d-94ec-4d67-a1db-139c5a86a0f6
defend,61,SM118473181,e55179cf-686b-4d04-8d8a-528f19e64ca9
skill,88,SM118473181,928b5b6e-bd0c-4cab-988c-d8b1a5f45b24
speed,64,SM687860620,27d9bea2-aaf9-462e-9683-d2888a901c19
stamina,85,SM687860620,9ab8563e-273a-4c43-91c1-e5d68eeb2069
shoot,19,SM687860620,2d6c59ff-e838-43d8-939f-ddd71c2c7b61
headed,19,SM687860620,e02f6beb-bc71-4ba3-8fed-c5f336819139
pass,85,SM687860620,7fbc01bf-afb8-4c44-8bb6-65e7e3459e9c
defend,49,SM687860620,24de51e1-b7b3-4b9a-9239-16890ffd3a3d
skill,31,SM687860620,9ae33205-97bf-431c-901d-57a2a88f174d
speed,61,SM325440477,3a7cc014-eaf3-4b6a-a6d2-553cbcb7a26e
stamina,92,SM325440477,b69e4b4f-1460-4e40-bc13-5d7a70326175
shoot,27,SM325440477,04174c8e-e047-4a16-91a3-89db9885909f
headed,3,SM325440477,30b51676-4ecf-46d8-9e06-24fd52ca451b
pass,61,SM325440477,2b709331-0fd2-44ea-8fa9-86e9663e778b
defend,44,SM325440477,ca06091b-0f00-4965-8b33-6c324b43db29
skill,63,SM325440477,e8691fdd-5df6-40f1-a1ec-ef38681eda59
speed,58,SM935622941,b4b35f5b-d24b-42ae-9a49-b916eb4f2c2b
stamina,91,SM935622941,71f8eb9a-7e40-45b5-83c4-a783d9147d15
shoot,83,SM935622941,82fefd85-50b4-4ac7-9027-72f429f312b9
headed,43,SM935622941,9bcb8b85-49e0-417f-991f-1ad86a7af734
pass,55,SM935622941,58e11eae-bbcd-41f3-861d-93ba589639d9
defend,31,SM935622941,520a94d0-4e67-479e-8b02-b9f4a8c48679
skill,39,SM935622941,136e9756-00bf-4fc5-9dbf-148fe0991b53
speed,93,SM212461688,b151d07c-ed43-40ca-846b-48f1d0f9cf5e
stamina,98,SM212461688,a0326d18-b2c8-441b-8406-718c18aadef1
shoot,28,SM212461688,7284ea2a-5ea4-45c7-ba88-54b502da56fa
headed,40,SM212461688,2d95cbed-7d70-445b-86ad-9a3a3ba11302
pass,75,SM212461688,49e1f7df-8773-4997-b3fc-34514a8d0834
defend,30,SM212461688,709beee1-d465-43fe-97e3-e8df3b3c6274
skill,24,SM212461688,8626503f-add3-4961-89c2-b924bbc1045d
speed,82,SM458494930,28661884-3440-40db-9255-2989be37591a
stamina,82,SM458494930,3d4cc3a1-8cf6-4d3f-8247-2b98d3f24d2f
shoot,43,SM458494930,374d049a-a835-4b49-9ed7-ef20a2663c3d
headed,75,SM458494930,f98757b0-0feb-4d73-90ed-3f75b58b8bc1
pass,96,SM458494930,691bd34d-0ccf-4532-8189-f0ca1cea0012
defend,41,SM458494930,0155f714-7847-417b-87b9-1cf6be855d9d
skill,80,SM458494930,af720ea2-ef62-4c08-9133-db9ec5534aed
speed,29,SM264225459,9732db55-d10c-4860-9c97-fd0c0a063431
stamina,54,SM264225459,cc03bfae-1364-48f9-9aa6-f969d4d9093f
shoot,19,SM264225459,7a9c1579-8961-4a55-99d7-1e2e6a122a92
headed,73,SM264225459,7c406596-61c3-4c7a-aff4-8eb2fe85fb51
pass,75,SM264225459,3bbeec27-1c93-4086-bee1-bbf1738be358
defend,32,SM264225459,1be51a8d-ebad-4142-a1b1-7335a84aa27a
skill,10,SM264225459,68006816-d229-40be-8e6c-a41d5c78a62d
speed,68,SM408122171,6f99fb3c-dabd-4443-b737-7af8fa440af9
stamina,53,SM408122171,81bf266d-4ca0-4c95-a424-0808aec292c0
shoot,47,SM408122171,de7fe422-2506-4b8e-aa05-06342a26b277
headed,38,SM408122171,e4ad2d37-9a41-4295-b78e-68f1ed1c96f4
pass,82,SM408122171,1f07320a-44d9-417c-bec8-17c1f380634c
defend,11,SM408122171,4c0d8b37-e8b3-4bb2-b1a4-9deadf65e8c0
skill,47,SM408122171,f51a34fa-bf06-4b47-827a-37bbb132df62
speed,14,SM180892043,7bbad888-8112-4544-97cf-4ad3265858d2
stamina,78,SM180892043,dc2b766d-0632-4806-937d-7d850e68c932
shoot,79,SM180892043,28a9ab8f-d325-406e-b0bb-a59718c67c52
headed,19,SM180892043,88a82f7f-acd7-4529-a201-dc16fdbb9a1a
pass,95,SM180892043,1015c013-3651-4c6c-867d-dda383443f67
defend,19,SM180892043,2041c908-232f-4b90-9451-857162967640
skill,45,SM180892043,705309a3-f5cd-47e2-a38d-1ecfc039660c
speed,51,SM629792315,f3efa71a-8063-4108-b934-97b8d32e1a7c
stamina,93,SM629792315,77d1efd5-8901-4578-a386-becb22a929f9
shoot,54,SM629792315,f774f020-f78d-4622-b908-6d94f25103d8
headed,27,SM629792315,facf9852-84d6-4a45-b9dc-10c56c3c57f8
pass,66,SM629792315,530cfde4-42ea-4af8-b68d-95b7d29160e7
defend,17,SM629792315,e3365664-62eb-4487-a64d-40db2d9e9ab5
skill,80,SM629792315,2520e94c-04a4-4442-bb55-544c75f000e8
speed,62,SM355716384,cedbeeff-5276-4387-ae84-6ed484975445
stamina,77,SM355716384,0acb20c4-66f1-410b-a37d-51eb8495d23c
shoot,86,SM355716384,ef4f66be-cfb9-4f0d-bbb1-2f923fd8eb27
headed,63,SM355716384,1b4a3021-3a13-4b74-9b80-c7538f087989
pass,59,SM355716384,282cd1e1-9e03-4c55-a562-baa0078309c4
defend,21,SM355716384,f6de374c-0ae6-4ede-9fbb-945d4f0a5aad
skill,10,SM355716384,d5b32cc6-7e52-4617-8eb0-ef946aa26d51
speed,60,SM107978387,64d8483b-b3c6-44bd-998e-6dc8de65915a
stamina,78,SM107978387,0d8ef4dd-0aa7-492a-b8cd-8c627d3648eb
shoot,83,SM107978387,6a254197-da97-427b-b14e-ce8cd2dc0ec1
headed,87,SM107978387,9c83b89e-bcfd-4b48-91e7-0781f3413265
pass,37,SM107978387,17dcdcae-4a1d-426d-a31f-4dc97a640699
defend,34,SM107978387,7709af96-1252-4bd1-a58e-473e82ae00b2
skill,85,SM107978387,cb3bad03-4da3-4ee4-88d7-19f39368d242
speed,85,SM472224662,e0470c1b-6f77-4d80-911b-fed6b06202fd
stamina,82,SM472224662,41322395-6474-4ef6-9d88-c207c44a2089
shoot,95,SM472224662,ee97de43-745f-4112-955f-42eb18af8554
headed,95,SM472224662,11cd33bb-3abb-40f2-aff2-0216227a41a1
pass,39,SM472224662,2616c2d6-0511-43c5-a507-04652ff9631c
defend,46,SM472224662,9bb6ba48-5cd9-4939-b92a-3b7ac2a69401
skill,98,SM472224662,20ee1f43-2a8a-424d-9f6c-c664de4d5c9d
speed,80,SM467054194,582c046f-dfd4-40aa-822d-47f7adbb93e5
stamina,39,SM467054194,fc118f70-04dd-40ac-927d-c60fe20c1cbf
shoot,70,SM467054194,07007217-2417-4af3-925f-1c4c82028593
headed,56,SM467054194,dcddf0fe-81ee-4b41-8aaf-901f2ced3185
pass,52,SM467054194,52fbdce4-81e0-4374-ab39-b08b073b0492
defend,24,SM467054194,372a622d-4bc2-4972-83ef-5e08402001bc
skill,50,SM467054194,db8c46a1-c8ef-4c47-a428-eb5172e1a8fd
speed,70,SM396207979,1ffbda93-fcd8-451c-ad1e-8c3afb59c57a
stamina,50,SM396207979,fc9e0a33-88b2-438f-84bf-d6ab6080a388
shoot,82,SM396207979,fe657352-5373-46ce-85e6-d29b6b1dcd79
headed,45,SM396207979,31d46eee-1bf9-4a4c-aa3b-67a12724afb2
pass,89,SM396207979,7e12ead9-05b2-4918-8946-e9debde1745f
defend,24,SM396207979,79f170ac-34d9-4975-96fa-6f635e0945c3
skill,70,SM396207979,a1bf7818-8dda-47e0-891f-6652162ecf5a
speed,43,SM320603051,2f1fb182-c164-491d-a93e-95b1d3f206b5
stamina,68,SM320603051,61fc8b03-4bdc-48b0-b68d-0b64d91760a1
shoot,81,SM320603051,88bca361-4c84-4b12-bbf3-d8f1b7e659fa
headed,74,SM320603051,6be51228-7565-4566-bec6-8ff84de5a6d0
pass,86,SM320603051,7741bf2e-8c36-475d-87c9-2f6f75b1e2e0
defend,26,SM320603051,ab295eb4-2707-413b-b3f5-bff88f9a9f1f
skill,10,SM320603051,16230cf9-31d0-4705-89e5-1ac33cea4ba4
speed,59,SM289966554,0cbbd0af-a333-4cfd-b68e-7355c95bde58
stamina,53,SM289966554,3ef7c8ca-4dcd-466b-b090-38de5bd18c44
shoot,51,SM289966554,6997d02e-d173-41d7-b8df-98c565bd70cd
headed,74,SM289966554,d96d0a24-50e4-4a88-b821-89af03bb012c
pass,90,SM289966554,ae77c5d1-7245-4d22-8906-5fc1b148a4f2
defend,22,SM289966554,4c5e12a5-7e40-415e-a39d-04bf6ebebf66
skill,85,SM289966554,1edad09e-ee83-4c0b-b992-104ab3f3065d
speed,77,SM378485317,6abcbef8-686f-4bab-9643-a8c58aece9a3
stamina,73,SM378485317,fad372ef-65f0-4e4c-adc3-6d94b8a4ac63
shoot,6,SM378485317,c1cda647-dee8-46ed-bd08-b501b9206bc7
headed,93,SM378485317,5d503541-89c2-4c3a-8c73-eb4f37e8440e
pass,40,SM378485317,dd058b16-d5a2-4584-be75-0a2fc1ba348c
defend,85,SM378485317,423fbc87-78f9-438a-b7f9-da19e27fd675
skill,17,SM378485317,136232f5-5823-47a6-8394-7a504d271e40
speed,81,SM940412127,2badcb8f-a17c-4e59-a06a-7fd46e2a9a62
stamina,96,SM940412127,6371a610-e43d-4352-a61d-ff7ff9436c47
shoot,34,SM940412127,dd5b78e3-778b-49c6-b4bf-2b0110261c81
headed,49,SM940412127,b5b4219c-06a6-4906-9d8a-b97d2453c00d
pass,38,SM940412127,e6c049bf-6be1-4530-9755-0ef738157c14
defend,94,SM940412127,52633344-ea5c-43a9-aa36-52bf97b6467e
skill,13,SM940412127,12a06833-967a-4261-8517-752885dd20ac
speed,42,SM193075030,a5d93b72-a5dd-4bbf-bcac-47092e233595
stamina,76,SM193075030,95013480-cbbc-42a1-bf77-18f62a38291a
shoot,66,SM193075030,8ca1e1f0-0aa7-456e-a603-d7f1e3c41526
headed,46,SM193075030,28ba6243-ed10-4b01-bc8f-c2ba7e1841b6
pass,57,SM193075030,efea9688-2585-41d7-b919-b94339ad1250
defend,94,SM193075030,2b13b047-48ac-4c8b-8b59-07a8501dd9c8
skill,25,SM193075030,d03aa2f6-233a-44b6-b848-0356e2b3b7d4
speed,59,SM669145560,4ab5e211-1fa3-43b0-a03f-be38976c3505
stamina,69,SM669145560,57098a14-1ed9-4d7f-8433-61da344fd5e4
shoot,2,SM669145560,e353b25b-c627-4759-a1f1-0a33ddcbb166
headed,42,SM669145560,bfa5ae30-cadb-4e20-baf9-8f94b448981e
pass,53,SM669145560,378d8fcb-13c4-4e83-8349-7a3329af6fd0
defend,79,SM669145560,59301a2a-e472-4ffb-acea-e919b18624f2
skill,98,SM669145560,2a4ea678-13c1-4d82-8211-3dddffc50690
speed,82,SM705454198,f0f2f2dd-c593-4459-920e-a397f3761771
stamina,88,SM705454198,0a7993fa-dd0c-46d9-bdcc-6e1a49781835
shoot,14,SM705454198,b4cf8476-ef41-4ecb-bb68-495b2eb51b21
headed,54,SM705454198,fb68d0aa-407a-4fe2-ae19-90a437922d7b
pass,30,SM705454198,db08aa38-bbd1-4db5-a373-ffdcaa2eacb0
defend,83,SM705454198,b48b3f22-0dff-474a-a079-11386884c04f
skill,16,SM705454198,c32d5dc7-6826-4903-9546-0f5f429d4f6f
speed,81,SM994495567,c3a7348d-954f-4160-bbfa-aedde4823787
stamina,97,SM994495567,50968b23-7808-41c6-b293-187bbe71b1d4
shoot,60,SM994495567,d0b986da-b175-4b6d-a5dd-e9a43f1badc2
headed,74,SM994495567,b22ab07a-e8ef-43dd-92ef-1760ac8e652f
pass,36,SM994495567,46aed8a4-1721-4123-9374-0fae548c6585
defend,88,SM994495567,a2950efa-1102-4216-8f14-67d62165e462
skill,26,SM994495567,922f1284-f090-4d57-83f2-c1b25b7fc8c7
speed,76,SM223388675,92736206-120b-4c5c-afee-3aabe4bd3989
stamina,50,SM223388675,f9c1ce6b-35c1-45b7-ada3-2409a2a89660
shoot,68,SM223388675,c2ec8983-f708-4e4f-8241-07294c7b6f05
headed,36,SM223388675,6a75fdd5-0f3d-43bc-bcba-a209c4b3bb0c
pass,19,SM223388675,6508484a-a4fa-4881-81f8-700a944f04ea
defend,99,SM223388675,c4a8c624-7b3f-4541-b83f-ca890b245a83
skill,17,SM223388675,a7d90918-d2dd-4663-bc0b-f5d1337a19e2
speed,54,SM375354506,aadcc51f-90c1-4fa7-bbb4-a6d11932ebeb
stamina,51,SM375354506,3a72981a-054d-4f94-8153-d2b9e9194c89
shoot,43,SM375354506,77217cb1-7b6b-4431-b981-8695d8926a1d
headed,82,SM375354506,96d19188-21f1-4efc-aa7b-57513ad28024
pass,32,SM375354506,c76157b4-79f7-4491-84c0-b4339f5cb896
defend,58,SM375354506,8f7e9da8-877a-4754-bc71-a1d8e32b9e70
skill,86,SM375354506,52f5016e-aefd-4250-b157-551b0c1a496d
speed,29,SM958816301,9e024854-3a43-4bdc-83c6-8da5227e2972
stamina,83,SM958816301,3c8b8759-7150-414b-9569-37a412742088
shoot,23,SM958816301,f1d556f7-13f9-4278-9a93-8a5f4e3f10d6
headed,37,SM958816301,b91c4900-c383-42c6-a150-546ca303be3c
pass,8,SM958816301,63683902-23da-49f2-9526-256a4f6585d0
defend,67,SM958816301,42ab2ea0-f555-4e2f-9135-997f36629dc6
skill,89,SM958816301,8c4f574e-f0a3-4093-b04a-17bff81c43af
speed,32,SM510789686,37809cf6-93f0-43bb-8471-aa67754790de
stamina,63,SM510789686,39e8ba84-1c19-4853-b9a6-2e31422dbbb0
shoot,3,SM510789686,6d6dd51a-34d5-4330-ac3a-23b28132e74b
headed,98,SM510789686,58ffe475-b559-4db0-a48f-3c1ecb49b252
pass,48,SM510789686,f24aa632-2163-4a93-a75b-a8f2769a1758
defend,88,SM510789686,8a302b61-740d-4e27-9bed-dd73a1e38da1
skill,98,SM510789686,fe1e7464-21b3-4bbd-a1a7-832e049404ed
speed,24,SM412438808,a6d52281-bbb1-41cc-8ed3-db58221e8e56
stamina,51,SM412438808,dc73b951-b432-4f9c-a023-c12585f7a123
shoot,11,SM412438808,072e4327-91d6-4c52-9ff4-6aad6a80d148
headed,23,SM412438808,a5df2d03-bf56-4823-b600-f516c58090e2
pass,24,SM412438808,e3997e7a-c908-4f91-9419-6916c42281f4
defend,55,SM412438808,368e8510-1862-470b-8bba-93c8fad94e78
skill,61,SM412438808,889b7ecc-9acc-478e-b5d5-ec35ac898921
speed,16,SM768931513,3de5d90f-5dda-4d90-8ee4-81caee6be721
stamina,46,SM768931513,ae5f19e3-9fa4-44d8-8ac2-846dec301028
shoot,7,SM768931513,11b1f179-dd8a-487e-966a-8f80068f6f77
headed,18,SM768931513,b3074015-3652-4863-adef-036a6b5a2e26
pass,18,SM768931513,a69fd97c-6873-4bfa-8e9d-11efc6c5a768
defend,62,SM768931513,6bc53d32-9b54-46fd-a866-1324ffb01d64
skill,64,SM768931513,3fb2057f-0c25-418f-88f1-663e4bdfdd9a
speed,39,SM539846039,612a6140-a1e5-4c03-9e23-30b4ee633bce
stamina,33,SM539846039,1b04d67f-6e35-4d67-bf23-b6ed8ba297cd
shoot,34,SM539846039,7aab995e-59a6-4ff1-a237-11dd06b0549b
headed,2,SM539846039,07ec5179-d5bd-4e5f-853b-198553f5bd88
pass,1,SM539846039,6c939852-fd71-496d-a92e-cfe83edf408f
defend,92,SM539846039,af3fe921-04d9-40e3-9af3-8c7631861ec1
skill,89,SM539846039,ea502616-5083-418f-88ca-b4177a32014d
speed,91,SM888111715,a698e2ea-909d-4e23-b0c0-3799ee8f26bd
stamina,82,SM888111715,1f2d0285-6076-48d9-ac62-6163afa5600a
shoot,47,SM888111715,b6557b6d-07fc-4aae-896c-4c11cd85e3e0
headed,28,SM888111715,85b02930-eabc-47c6-b913-ed52369b8674
pass,67,SM888111715,4b37c9a5-e81e-434c-8536-97e5c0af0ed6
defend,39,SM888111715,4a71fe54-b1a7-4040-b325-9fcf687d1c4b
skill,70,SM888111715,3cab1a9c-cc4a-4c14-a019-99cd4363f0b6
speed,11,SM705792308,1814df3e-54bb-4c55-8f76-66172674f704
stamina,96,SM705792308,73570a92-bcfe-48c3-a128-8e378d9f69a7
shoot,53,SM705792308,ac20f018-553a-4c22-b5e4-f6cf0c4bb7f5
headed,34,SM705792308,fd54a56b-3fb8-44bb-807d-ea8374668535
pass,86,SM705792308,34f1a9a1-5898-4eb3-936d-99dc245acb54
defend,42,SM705792308,7b29f4b5-6779-41b2-8bec-230162ff6ab9
skill,50,SM705792308,e4582a9d-9def-4c87-9872-29a32e8b80da
speed,39,SM406491161,b39b4267-5780-427f-b434-5c858340ba86
stamina,81,SM406491161,949f3139-a418-4b6f-9856-d7c73b137fc1
shoot,22,SM406491161,d5e35c10-291b-4a1c-87f9-0df21f9c4faa
headed,53,SM406491161,8070aeac-850b-44c8-a118-81bc0bfa2099
pass,68,SM406491161,57b6eb3f-e8d8-4982-8d5c-8eed19a1c7f3
defend,23,SM406491161,13e2eec6-e23a-4edd-9120-29dadc1cb7a9
skill,72,SM406491161,4fdd843c-ab96-4945-b0b3-7e29b71b2e23
speed,81,SM634743830,0995234d-0b14-4447-b7c1-34d2dc9fcaab
stamina,73,SM634743830,fd45b9d6-8256-4199-a542-7184a758c198
shoot,24,SM634743830,974aabb1-c303-4f69-90cd-3e22ad0d499a
headed,40,SM634743830,3271f944-d125-4552-8331-cc3c3669c87b
pass,73,SM634743830,9d2d25fa-4f28-4dc2-8b90-450262b79295
defend,28,SM634743830,1945f278-1829-41df-a66d-f07eed890838
skill,87,SM634743830,ec6fa430-ea2a-499d-b9b6-27ed83e5ef51
speed,82,SM398127656,b3ae0d36-74bc-4125-9c47-1613d51c7a1c
stamina,88,SM398127656,1ad66d18-2ed0-4cc4-9d09-c24f411e767a
shoot,44,SM398127656,48e05f21-e90b-4f93-954f-d1d1d36f0e06
headed,74,SM398127656,4196ed2b-9780-4899-be36-ef9644e4898d
pass,61,SM398127656,4884dc1f-5753-4259-ae7b-1ed83f8397e3
defend,49,SM398127656,151dad6d-bc54-4747-a7c9-5c7c95f6427f
skill,85,SM398127656,1786b98f-a9c9-42d1-8c63-39e75c37c1d3
speed,49,SM316265849,b8ca1e1d-5f19-4158-98be-dbca8caf0583
stamina,59,SM316265849,133606af-e4cc-47b2-8898-42b20197cc10
shoot,60,SM316265849,95694da1-1a94-4ed2-8a58-deee2a86dd3c
headed,36,SM316265849,6ce8af7e-c8d7-428d-8fb8-5d01cfd5d875
pass,93,SM316265849,19d996a6-8c5f-421f-b948-05cd403b00eb
defend,29,SM316265849,d81d7829-e69d-405b-baa9-1128b829f1dc
skill,83,SM316265849,d2ae2e13-5b9f-45c4-abca-440bebcbb204
speed,97,SM265531162,34be85f8-5f9b-4853-877f-99dc27ca3b14
stamina,83,SM265531162,3965d61b-0602-40fc-8505-85c3a3aaab0f
shoot,18,SM265531162,4952dfff-017e-429e-9d1b-44a94832a322
headed,25,SM265531162,8ba1b9ed-c2f8-4cdd-ae12-a9171ff748b8
pass,53,SM265531162,fe04f83d-6d63-4aed-bf9e-4eb55a625f1e
defend,46,SM265531162,2d0de49c-b5dd-4bf3-ab00-9b1ced48b0b8
skill,81,SM265531162,2af84ce6-c5da-47fa-b0f0-7150c73604dd
speed,68,SM576116169,25010784-2c0a-4e64-9520-fdedd841a221
stamina,61,SM576116169,5f412479-6115-4a02-885b-7f8f4b83fbeb
shoot,40,SM576116169,a503ecb5-d0c9-4c00-99fa-5577328039ee
headed,3,SM576116169,5ef668e7-8b20-44c8-8ab3-53ebf1bb453b
pass,67,SM576116169,bb482c82-85c8-4e33-8355-b7fb7c354d29
defend,12,SM576116169,90ce83db-eae3-4c7f-9d6c-8b3f60731375
skill,37,SM576116169,ca3f868f-1d3c-4ea2-ba5b-7e6f00d87964
speed,77,SM381740374,5b90d738-8829-4472-901a-9174f6c1b620
stamina,65,SM381740374,8be6018f-10d7-42d5-b556-686897ff2dec
shoot,57,SM381740374,872e239e-4bc7-4fa9-b85c-977edf7c65e3
headed,34,SM381740374,9bdbb213-676a-4ee3-a1db-55d57fa0d36e
pass,56,SM381740374,cb7531a7-32cc-4ad7-9dfe-19d5b7c0ffa2
defend,40,SM381740374,5eec07f4-0b51-40c7-8da2-ac157bab8370
skill,75,SM381740374,89f4ca27-5db7-44f2-93ba-e99a942df436
speed,19,SM318690618,00fff547-4964-4ba4-9a66-bb11ddf70258
stamina,77,SM318690618,49c72596-9b84-4b09-8d4f-578fb7a6bcb2
shoot,68,SM318690618,85db5251-d02c-43fc-9528-6678149b122a
headed,58,SM318690618,2649f819-f6e0-4a49-a24c-d06690201b17
pass,61,SM318690618,eb4d689e-c91d-46b5-b02b-0f51d681b2a6
defend,52,SM318690618,bb8f8b4a-1893-47e3-95a2-36580bad7343
