city,home,home_capacity,team_id,training_field,uuid
Vientiane,Vientiane O stadium,49132,TA355277357,Vientiane Household Run base,30103a30-0cb3-4749-914f-3174cceae7db
Southampton,Southampton C stadium,45643,TA577340463,Southampton China_Eastern_Airlines base,a53d430d-1622-4e55-aff5-4dde4d55adda
Tacloban,Tacloban Q stadium,42947,TA787129183,Tacloban Busy_Bee base,6a0eee45-a272-40f1-9b15-b38dbf7405b8
Ifrane,Ifrane S stadium,41170,TA335353474,Ifrane LagunAir base,a385061d-7b3d-4d53-abaa-49757b607961
Kerala,Kerala D stadium,47438,TA440855807,Kerala Continental_Airways base,1c520a1c-50dd-4055-9d34-f80d3321edb8
Ljubljana,Ljubljana G stadium,37922,TA612242554,Ljubljana Fonnafly base,859275bf-2a89-4257-a8a2-61ce6abec890
Nueva_Esparta,Nueva_Esparta E stadium,36502,TA336981758,Nueva_Esparta Aerolíneas_Mas base,4aba27a4-99a5-4c0d-bef1-a12f41b11682
Enping,Enping N stadium,37290,TA590283259,Enping Germania_(airline) base,ff807165-62f7-412b-9867-1893399fbeac
Habra,Habra E stadium,47613,TA120420542,Habra Cargo_Express base,effc715e-b280-44fd-b550-e31edbdf8bd2
Anantapur,Anantapur A stadium,41235,TA140438275,Anantapur Global_Aviation_and_Services_Group base,c87e3e03-a6c3-4470-8513-315cd21a84f4
Brașov,Brașov C stadium,47096,TA891841135,Brașov Enerjet base,33d81bf5-f1a9-4a10-94ae-05a7f80f8dff
Gaoyou,Gaoyou O stadium,37308,TA642495557,Gaoyou Jet_Konnect base,550cb2b2-c913-4fbf-ac4d-8877f91cb8bd
Anshun,Anshun C stadium,39463,TA157061104,Anshun Air_Bee base,4033088f-2ca3-4e27-924e-42fdfd233129
Beiliu,Beiliu T stadium,38029,TA201425726,Beiliu Sharp_Airlines base,f2e54d0b-2f72-4a91-ab94-92f00e2a488d
Paris,Paris G stadium,41543,TA154367993,Paris Kalitta_Air base,f3e4d9bd-dae1-4972-b8ed-8ef8392779be
Fes,Fes C stadium,45437,TA539859588,Fes Northern_Thunderbird_Air base,2357c392-cb3a-4bdf-844c-deb27c001ba0
Belgorod,Belgorod A stadium,38212,TA934941458,Belgorod TAB_–_Transportes_Aéreos_Bolivianos base,3f670357-f317-40d1-8c9a-0e53d2aab7a3
Anqiu,Anqiu B stadium,36695,TA485581258,Anqiu CAL_Cargo_Air_Lines base,5f26d979-0704-42e2-8879-077bd5b432af
Monze,Monze E stadium,43768,TA626050987,Monze Karthago_Airlines base,2bd9a8a1-c01d-471d-80a0-b6585c6b403a
Alexandria,Alexandria B stadium,45801,TA312850426,Alexandria JetLite base,e7b29bcc-94b0-4c59-827e-1740a9dc6a78
Changning,Changning T stadium,52923,TA526030251,Changning Pelangi_Air base,29e3f296-6205-4553-9574-f2a1de9f6a4f
Insein_Township,Insein_Township D stadium,52620,TA867797114,Insein_Township Deccan_Aviation base,b71d8264-a545-4779-abe7-c1b9aa706bc1
Milan,Milan I stadium,38815,TA503760491,Milan Morningstar_Air_Express base,e7e06d2b-5a1b-4c08-b7c4-9cde41acccec
Louga,Louga L stadium,40798,TA152432320,Louga Bmibaby base,48455968-d867-4c0e-8563-801e1747de05
Bazhong,Bazhong G stadium,47216,TA363334212,Bazhong Air_Glaciers base,24ac8a0d-ffae-4ea4-a414-69ba2a4d5880
Arlit,Arlit I stadium,37473,TA948032256,Arlit Mint_Airways base,3b4ce647-e11b-42c4-b541-058d6774e567
Kalibo,Kalibo L stadium,51452,TA606169897,Kalibo InnerCircle Catering base,71122a23-6a20-4bfc-81f5-be9c6f7ca312
Shimoga,Shimoga G stadium,52083,TA212260483,Shimoga Royal_Airlines base,4ec881d5-ecac-463d-8762-29087d9345ab
Cooch_Behar,Cooch_Behar C stadium,47248,TA821601682,Cooch_Behar East_Star_Airlines base,8447c825-8b5b-4879-8e09-94b60bbfe81d
Biên_Hòa,Biên_Hòa I stadium,50743,TA948279077,Biên_Hòa Medallion_Air base,3ff4cbcc-4654-4286-88a4-0bc66fd61859
Callao,Callao I stadium,38681,TA764969901,Callao Key_Lime_Air base,8d0cc0fc-9ce3-45de-bb54-b3d860a80976
Constanța,Constanța G stadium,37103,TA618685565,Constanța Air_East base,144498ec-0d6a-46e1-9b5e-87c373ed3300
Legazpi,Legazpi M stadium,50025,TA715898558,Legazpi Transaero_Airlines base,bf53f029-f251-4c50-8c1e-75ed8f7b21dd
Ramadan_City,Ramadan_City D stadium,49017,TA626344481,Ramadan_City ETA_–_Empresa_de_Transporte_Aéreo base,610f2e0a-4018-41ef-8743-ee216c6c7352
Baranovichi,Baranovichi I stadium,41467,TA190355921,Baranovichi Sport Eclipse base,9f4a6e63-36f3-43f5-98fe-d877e1bccba2
Dunhuang,Dunhuang I stadium,41587,TA497599281,Dunhuang Luxor_Air base,b551b8e4-e224-4a7b-b65f-ae88ff5d756b
Bobruysk,Bobruysk H stadium,39434,TA738917702,Bobruysk Island_Air_Service base,f869b77d-a012-4dec-b642-69103bd782cc
Warangal,Warangal G stadium,36215,TA642772311,Warangal EgyptAir_Cargo base,1953a0fe-3085-4f55-b08c-c63152bced86
Phan_Thiết,Phan_Thiết B stadium,44577,TA564264221,Phan_Thiết Dagestan_Airlines base,26e1fd77-c648-4850-8541-bab2384604a2
Anqiu,Anqiu O stadium,52830,TA221090058,Anqiu SprintAir base,bb08d9c9-cd64-4cf2-8ffb-b20e9aa7418a
Ulan_Bator,Ulan_Bator S stadium,47551,TA339278263,Ulan_Bator Sport Leaders base,4a516ac4-9937-4e1a-b876-0f1d52865099
Bolívar,Bolívar F stadium,35744,TA374508044,Bolívar Cosmic_Air base,f32e6ca5-b955-4f92-91ae-a0a0d879e2c4
Baiyin,Baiyin C stadium,35442,TA608328197,Baiyin Air_Class_Líneas_Aéreas base,1624edb9-1d70-4bbc-8373-7166fe9384ba
Sheffield,Sheffield S stadium,38841,TA903101066,Sheffield Eastern_Air base,d52fae64-5f43-4e6f-a522-56ffd4260e81
Chaozhou,Chaozhou O stadium,41631,TA798643655,Chaozhou Sky_Express base,dc3be66a-9632-4b91-acf9-aab853a21f65
Peshawar,Peshawar K stadium,37617,TA301808588,Peshawar Astrakhan_Airlines base,fdeb6cef-fe13-493a-8ad4-320da4ca48f4
Dire_Dawa,Dire_Dawa H stadium,42800,TA176189140,Dire_Dawa Tampa_Cargo base,b47b7df5-28df-4467-9279-01a8e5e365b0
Karditsa,Karditsa H stadium,49459,TA744428836,Karditsa Jordan_Aviation base,a803abb6-f905-420a-a8e6-47f172f94f96
Dera_Ismail_Khan,Dera_Ismail_Khan H stadium,52484,TA479089744,Dera_Ismail_Khan Trigana_Air_Service base,6cff4c50-8810-4f83-acaa-f30d0be1b72d
Babol,Babol O stadium,46289,TA793664475,Babol Petro_Air base,beab5990-0201-4105-b15b-aafffa274185
Thanjavur,Thanjavur O stadium,48627,TA968925124,Thanjavur Hemus_Air base,7a2f7ede-a0b7-4849-8b78-952371e5387f
Gaoping,Gaoping C stadium,35115,TA942527407,Gaoping Air_Universal base,5d892693-f840-4b83-a5ee-2c68447dc144
North_Wales,North_Wales C stadium,42007,TA724257934,North_Wales Landmark Catering base,21217a41-1fe3-4885-aa34-2e74acaf256f
Patras,Patras A stadium,52912,TA830320154,Patras AMC_Airlines base,321624f5-8242-4d9b-b6d7-9fb3959778f3
Chandigarh,Chandigarh O stadium,37232,TA990304290,Chandigarh Linhas_Aéreas_Natal base,f4196c69-37dc-4c9b-842e-51fca38b1955
Diamantina,Diamantina B stadium,46353,TA104061699,Diamantina Grand_China_Air base,9a798d21-fb72-40ec-8f92-971e43c23819
Sohag,Sohag L stadium,46704,TA745091926,Sohag Alsek_Air_Service base,12397c7e-56b6-4842-a2d0-6031c988d98f
Haidian_District,Haidian_District Q stadium,50504,TA947366531,Haidian_District Identity Clothes base,cc7baaec-4ae9-4e3b-a6c5-15b09e854b07
Gaocheng,Gaocheng L stadium,49009,TA474842697,Gaocheng Cretan_Airlines base,49ba217e-9f68-4947-aaa6-e32bdd4d261f
Long_Xuyen,Long_Xuyen I stadium,41130,TA310503855,Long_Xuyen Industry Here base,ef235685-6e21-41cb-a792-3429b525daff
Maradi,Maradi B stadium,44082,TA711961282,Maradi AirBridgeCargo_Airlines base,ba5dad4b-b429-43ee-8f20-54236ab57a93
Dhamar,Dhamar A stadium,40383,TA147361409,Dhamar White_Eagle_Aviation base,5563c0d6-57fb-4308-ba17-c5a9d5845864
Jorhat,Jorhat D stadium,35404,TA769697970,Jorhat Peninsula Media base,f5542b8b-2c48-4dc1-8425-1563a3c2a955
Bankura,Bankura S stadium,45062,TA158105062,Bankura Boston-Maine_Airways base,23783d55-9bc7-4e1e-9125-0428b375da19
Gorontalo,Gorontalo D stadium,48477,TA692547504,Gorontalo Executive_Aerospace base,cbe2c96a-4de0-4944-b17d-f2800a4c3b7c
Unguja,Unguja A stadium,36268,TA299032350,Unguja Industry Booth base,c817bd8c-e603-438e-b3d4-a7bbb6b8ff95
Berlin,Berlin G stadium,35866,TA635239853,Berlin Thai_AirAsia base,4cfce4c9-b894-4c05-8d3d-a9b9d3732ddd
Phoenix,Phoenix I stadium,47154,TA766903461,Phoenix Korongo base,36948401-03c6-4246-8fc2-a604f2e416a6
Ajmer,Ajmer F stadium,38543,TA892036085,Ajmer Arkia_Israel_Airlines base,731ec98d-c2b7-47a9-a359-7a405b5b70b9
Ghaziabad,Ghaziabad P stadium,51347,TA929596994,Ghaziabad Industry Mega base,88c6beb9-67d1-4d75-a7eb-2f491d3b9f6a
Luanshya,Luanshya T stadium,52971,TA194382414,Luanshya China_Northwest_Airlines base,ec77d92d-71b6-413c-a0e9-6553fc689bbb
Pyin_U_Lwin,Pyin_U_Lwin S stadium,43024,TA406397679,Pyin_U_Lwin Centre-Avia base,396beff6-8a16-43e1-b1b5-aceb70e89db2
Orissa,Orissa G stadium,47563,TA315543346,Orissa Civair base,f49b686e-8daa-47eb-909c-2401493b913f
Debre_Marqos,Debre_Marqos C stadium,42316,TA419272167,Debre_Marqos Proton Run base,a03cdf98-8eaf-425d-a5f9-53c47167cbcb
Songkhla,Songkhla E stadium,41741,TA131456888,Songkhla Nok_Air base,a0d37205-4d8e-4fc9-831b-8a12ae4cecd4
Machida,Machida H stadium,47472,TA123656353,Machida Airlines_of_Tasmania base,8bb93308-ab86-4005-9d95-06512e1b8404
Tehran,Tehran F stadium,35527,TA550463014,Tehran Air_Panama base,2b475933-f1ff-4fed-bc06-81ef7e3cae96
Kota,Kota G stadium,47751,TA924651032,Kota Adam_Air base,08d8b2aa-cb96-491c-9399-2a71f9ac202c
Fuzhou,Fuzhou A stadium,48674,TA258310083,Fuzhou Wiking_Helikopter_Service base,934f2666-6169-46dd-b52c-0597dae618e2
Lubumbashi,Lubumbashi Q stadium,39550,TA278851388,Lubumbashi Great_Wall_Airlines base,d3109102-3adc-4677-868a-611385140ed8
České_Budějovice,České_Budějovice K stadium,51534,TA321680893,České_Budějovice SATENA base,3c73136e-f94d-460c-bddf-e2fe087b65bb
Assam,Assam S stadium,42482,TA591317453,Assam TAROM base,9d2e54df-2dad-4b32-bde1-9322fe1415b4
Livingstone,Livingstone G stadium,43935,TA434991744,Livingstone KLM base,969372ad-7ea0-4e38-bfa4-c3a8e7e07be8
Thanh_Hóa,Thanh_Hóa Q stadium,51459,TA753870439,Thanh_Hóa Smooth Media base,4946cc48-3d3a-4eec-8bc2-5978ef9290c4
Danjiangkou,Danjiangkou K stadium,37902,TA321770435,Danjiangkou Whitejets base,75449bb6-2bf1-4134-a689-b80ffdfdc437
Thanh_Hóa,Thanh_Hóa N stadium,51163,TA930029115,Thanh_Hóa Riau_Airlines base,d01de7e7-703c-4417-ace4-aed939ec8e59
Khost,Khost T stadium,43125,TA374560312,Khost Swiftair base,8da263ae-e9fc-4e60-8eb8-42bc70662151
Altamira,Altamira P stadium,42127,TA389322401,Altamira Superior_Aviation base,ecefa0e9-d391-4176-bea0-4b9a8c3d386b
