detail,position,sportsman_id,uuid
left back,defender,SM510789686,58c30854-388a-4265-ba35-7a03318bbb4e
"",goalkeeper,SM412438808,02ee801d-8a64-4ecd-b44e-8c68c8ffdc05
"",goalkeeper,SM768931513,f043730f-7c14-45f3-95e3-3137a19613a1
"",goalkeeper,SM539846039,53065329-f07d-422b-a734-789f8184672f
centre half,midfied,SM888111715,879b12be-1bc9-4aee-9898-afaec9eb8be9
defensive midfielde,midfied,SM705792308,2bdc2f57-66b7-4555-8e89-2608eb0795b8
right half,midfied,SM406491161,e8b89eb0-0c4d-434b-be09-9eb8344b1c3e
left half,midfied,SM634743830,611ec696-1753-4dd6-bd5c-22436ef679c7
right half,midfied,SM398127656,6724932b-963a-4709-8187-872c8ead0ff6
attack midfield,midfied,SM316265849,5f371d8d-4e84-4cdd-8275-475931de27d4
defensive midfielde,midfied,SM265531162,9fd2fc63-6aa0-4584-a8d5-a178f2a59ee4
right half,midfied,SM576116169,4b3dd7ba-fc5c-4144-a150-d9b2bbb4c276
centre half,midfied,SM381740374,d07b8bbf-a4da-41b0-a09b-c1a550ea0784
attack midfield,midfied,SM318690618,1e03c8a6-1d9e-4af9-810c-4ad068f4178e
wing forward,striker,SM777988571,60e8c0f8-37bf-43f7-a2dd-4b550c329285
centre forward,striker,SM810229604,64b70e8f-f2c9-4600-bfbd-6a15238a0dd6
centre forward,striker,SM117067240,5c247401-5663-475d-90c8-e7a7b5b68e2b
centre forward,striker,SM886023985,8949c44b-8f30-441a-82e3-3fa8c576e42e
centre forward,striker,SM735710876,8e71738e-1774-4621-89c7-f6c9805e44f9
wing forward,striker,SM916833598,55aac4c1-274f-422b-bba6-d5efb768cb61
right back,defender,SM414616981,f32b88be-1862-4461-8338-037f5907987e
centre back,defender,SM157352929,0ee4f63f-feab-4c4e-ab1c-2c29f1f2a4c9
right back,defender,SM518951895,ac3bc7e1-703d-418b-b1ab-0b5ed8bb78f0
left back,defender,SM175884260,a1b4a705-4328-4419-a67b-45ec866dbbe6
centre back,defender,SM501645099,708f0ee6-b2b5-4bcc-9277-e7a656ba7438
centre back,defender,SM526387885,8764d872-a064-48ce-8b91-20bd3c89003a
right back,defender,SM301201068,c9499199-00cf-403e-8c5a-a678584f038b
right back,defender,SM524154171,075579aa-87b4-4845-9787-fac307baa541
left back,defender,SM967953082,bcdc0287-d71c-42ca-b97f-7aafe378832b
left back,defender,SM667378245,2211b161-c935-4530-b64b-7876d4db45b8
"",goalkeeper,SM419305020,c4ac0f68-f44a-4bd2-97a2-7ca11b6fc363
"",goalkeeper,SM316638074,7173ab40-d825-4b19-bca8-fd4d3248bb8c
defensive midfielde,midfied,SM578363609,5f8d035f-2922-44bc-9c6c-cf1909f476e5
right half,midfied,SM378371142,0ac0299a-60ac-44a2-a58d-ed694b59a927
centre half,midfied,SM104634404,009665b6-7be7-4093-9e12-12ec7bb5ea0a
left half,midfied,SM978627266,4e6c08e5-e520-40a9-a5d1-dff713f01c0d
attack midfield,midfied,SM642509491,c065e42f-1768-4328-b503-532383dfd07b
right half,midfied,SM806179015,3bea16f6-fcab-46d8-a0e6-b793d4d1d909
right half,midfied,SM871625684,26d7dad0-afcb-49ac-8905-603a5a4c7290
left half,midfied,SM453215459,84cfe748-243d-4e5a-ac23-163d2ac28ab8
defensive midfielde,midfied,SM527651304,15bdef69-d3bc-4d68-9ef1-81a66055ab9c
centre half,midfied,SM651711442,91018634-4c9b-45fc-86ea-b6eb7c3f5c17
centre forward,striker,SM436482552,2d05c954-7412-434c-b4b0-e42d031042c6
wing forward,striker,SM655360714,bd2e6251-1059-404a-b041-49f435ae0a5c
wing forward,striker,SM641195725,1b8746e5-25cb-427b-9eef-78e2736672c7
wing forward,striker,SM419706091,71104fcf-ada9-438d-9737-0efa964470e6
wing forward,striker,SM155798726,8b42d91d-6049-4616-a2b7-dc60910e3022
centre back,defender,SM313126405,26814dc0-6fa3-4c16-a642-b8144b25beb6
right back,defender,SM934935434,e827fa43-5ae8-486e-b77f-ca842d42996a
centre back,defender,SM774296397,dd51dbbe-940c-4923-88f4-437bcc77b06a
right back,defender,SM176279172,62b288e3-0b56-4097-86a4-b8d7f713e397
centre back,defender,SM769232535,9d8c31a5-bf53-4a21-a129-081ddeb17830
centre back,defender,SM806259250,a14bb369-1aa3-45c4-97de-fec17c7244cc
left back,defender,SM970452312,f1c30dce-58bd-4e30-aad5-4127da865571
left back,defender,SM378315528,74b59e4b-e663-46ee-a82d-d2440bb51c7f
left back,defender,SM280657884,9fc4c613-569f-4676-b04e-59c2c016b6fe
"",goalkeeper,SM520570619,36f422b4-12e5-4d52-97d8-8e1402cce795
"",goalkeeper,SM621917988,dd8e3c50-c457-4046-b145-c91d77ae9342
right half,midfied,SM946195884,48b1109d-2943-481c-a87c-89b4a2b9ecc9
right half,midfied,SM543800406,bcfc7806-2417-492d-b4cb-a747462092a4
defensive midfielde,midfied,SM715012420,56f9b7ab-1b07-4b47-b00d-95ea8fad5dc7
right half,midfied,SM515330886,ce4fd54d-5920-4a08-ac60-71d6b5ab9e2f
centre half,midfied,SM688138953,8f5d9053-3abc-4396-beb9-60d132dc640e
left half,midfied,SM687402640,41ff9e91-a09d-43cc-995c-96dc77631e39
left half,midfied,SM786351467,e3dede4b-6132-4b9a-bd69-03c4449ecb5d
centre half,midfied,SM207299127,fe32d843-359f-4143-b940-6a92866c9cd7
right half,midfied,SM529523627,fe56fada-2018-4eea-8351-c286020b9bf4
wing forward,striker,SM690682883,2718c20b-3b94-4e4a-97ef-d08d59282103
centre forward,striker,SM202234659,37007429-fef2-4b34-a6ea-8335f9b89184
centre forward,striker,SM593162185,7e75022f-b301-47b8-a994-94baa086cd90
wing forward,striker,SM759814825,22c28fe1-b2a2-48f8-bdb5-c1c63fb24781
wing forward,striker,SM671263002,ac49b11a-a8aa-40e6-adec-821cf5850704
centre back,defender,SM984173447,e0d241ef-b8df-446d-bc2e-3b0368494fca
left back,defender,SM423023458,f67d88ae-ca2f-42a3-9073-c53088209efa
right back,defender,SM623236407,2170e72f-3d6a-456a-b25f-5c654706cd02
right back,defender,SM948794716,bf95eae0-463a-4db0-907a-d413e9be3f4c
right back,defender,SM517103571,3d947b8f-0c98-4d95-9b97-2ba65c439dad
left back,defender,SM438053361,932f7ffa-e710-4d0f-8047-d8af6cca100c
left back,defender,SM476126495,81219a6d-4120-467f-a58d-a8a858353692
left back,defender,SM440053314,f80d121f-ec16-4a3e-b8e4-0afac8f1d6af
left back,defender,SM862447167,b22c2fbe-dd9a-4857-8ef6-dfc2b6e725c1
"",goalkeeper,SM167023216,2e78598e-80cf-418d-bd6d-1dea340acf8f
"",goalkeeper,SM568091291,fcc0eafd-70cb-4768-88db-48eb8534d73a
centre half,midfied,SM325113949,ae961897-d428-4e32-a884-bfc08e61bea9
right half,midfied,SM602485009,18032f77-3b19-4c98-934e-2d81eeb37231
attack midfield,midfied,SM975141740,33ae1ed9-394f-483d-803b-3f780fd3e5e9
centre half,midfied,SM602309630,fc2da134-178a-474c-bfad-7b969f5a00ac
left half,midfied,SM426508890,d80e6496-0b7e-4a86-8130-75d36240d995
left half,midfied,SM315718657,000dd394-385f-4329-a8bf-339a843bffb3
centre half,midfied,SM833897962,dbbddc86-7769-4ac2-9d1c-19c0e96bc793
defensive midfielde,midfied,SM304417555,b82207a4-3bfd-4550-adfb-784e7b007fb2
defensive midfielde,midfied,SM806181077,09222f32-fb9b-45ae-82ff-ebfa0fadd43c
wing forward,striker,SM299131624,a3cc97e4-d6eb-4c92-9d4b-dba7ea05d1dc
wing forward,striker,SM417570257,a86b82d2-94c6-4e6d-8d7c-953cd0b4441b
wing forward,striker,SM164869896,a6534960-8dd7-41fa-975b-7307678d2354
centre forward,striker,SM706983225,f00f4ca6-f3af-47ac-996a-478adcd41b0f
wing forward,striker,SM217389172,eef55669-a804-41df-9687-7c90c58543c0
left back,defender,SM947815739,10fb93a4-befa-4959-a92d-a880c98d7d2d
centre back,defender,SM973366850,3b73f3a3-a69c-4ce0-aebf-071678ec6be3
centre back,defender,SM267677035,063c17cc-1296-4ce8-9465-06f8a83e0988
centre back,defender,SM898730758,cebbb854-6e64-4b10-a0ea-6b076feaac03
centre back,defender,SM825048846,f1f91fe0-3079-469e-8ab2-169a9bc9d80b
centre back,defender,SM778592438,32ca2fd9-e54d-411f-917a-733128da1310
right back,defender,SM729427129,e41f71c7-4d2e-44a3-a199-2529923a7a11
right back,defender,SM803554542,261e37af-ee1c-498d-997f-1f0244f0043e
right back,defender,SM185517713,96a0e60d-d08f-44a6-9d58-62e9b25bd235
left back,defender,SM654092883,d8838c7b-6b6e-4266-9cff-82a54040acf3
"",goalkeeper,SM226483292,6ebd52aa-9195-43f0-a2de-dcc98477e59a
"",goalkeeper,SM425579813,f493ba1b-556d-4246-9b20-7c1e7ba4920c
"",goalkeeper,SM367003487,d6599b85-a23c-4988-9199-651095c8a587
defensive midfielde,midfied,SM619716086,81e3e76f-55e8-4726-890d-25ac8b20bbcb
defensive midfielde,midfied,SM724845760,5a29909a-4cac-4556-9d95-b32bc1cd683a
left half,midfied,SM932761899,e045e0e7-a99a-43d3-b2e6-5dd3abf60103
attack midfield,midfied,SM355111398,475d4f2e-a0f5-44a5-8b16-238d80246dfb
attack midfield,midfied,SM108111906,e5c79cb8-fa0a-4508-9d3d-01c616bbfc87
centre half,midfied,SM987344501,3cc3d9ec-2063-4464-8c18-800bd7811de4
attack midfield,midfied,SM972822879,bdafed8b-a5e5-4edb-9015-bc1cc2808ba4
attack midfield,midfied,SM331073885,9c30c1ac-3b67-4a42-a0fc-30fc43f983d6
defensive midfielde,midfied,SM391184115,982fa5bd-f5f9-4c1f-80bd-f87c9bff42bd
centre half,midfied,SM697523271,b3e4a1c0-6f37-4e09-b821-1105d3d18da9
centre forward,striker,SM772684133,6ec4aa49-ec05-49ce-b375-cdbc76d1ee89
centre forward,striker,SM975309344,e1634818-bee2-4ffc-960b-8addbe811b1a
wing forward,striker,SM347775329,77be783d-333c-4824-9d4f-12c39c9fb6b3
centre forward,striker,SM874720419,f8ba4722-e9b1-4811-90c5-a96e75d1d0e7
wing forward,striker,SM380910852,a7b6e81a-e8ec-4400-8814-670d8b348b6a
centre forward,striker,SM646901467,f86d2fb3-37df-42b3-b4ea-f4ff8fb7386f
right back,defender,SM539144301,8cd0d44e-7e5d-440c-a7db-34bbe6879cb0
right back,defender,SM601286218,ab580283-ece8-41e9-875e-c8fba3a94bf6
left back,defender,SM796706990,240eab63-39ae-4a32-a019-e1ef6ddc71cb
right back,defender,SM524124508,e741c48a-2690-4042-8d2d-802398d7bf66
left back,defender,SM837088252,2f6a746d-c18a-464b-be1d-455a355b04d7
left back,defender,SM290719617,5bcbab27-9527-424c-afb1-d33562012ed3
left back,defender,SM839974090,4deeb66c-799d-4087-9c0b-8d6306527860
left back,defender,SM290977566,69eb4d92-cf7b-4a7d-941d-d79b1aca74dc
right back,defender,SM280982733,749e3ed2-2bc0-4713-befc-68676b4e5170
centre back,defender,SM625511804,80ea75aa-13aa-4793-aac2-5dfadba08b95
"",goalkeeper,SM367895227,5bb85b8f-9dec-4d6e-a80f-a36aa4332954
"",goalkeeper,SM866305750,7833b785-9203-4eee-aa5c-d940e5583c2e
right half,midfied,SM569978174,f0cda96b-ea3e-438f-81a7-6110d710d05d
left half,midfied,SM486415915,5ee3a594-7b05-4cce-8f48-ab33084c2a2a
centre half,midfied,SM455703875,aea7914c-9cf4-41a3-aa8f-a1143acaed66
centre half,midfied,SM581044711,379108e7-f9cd-4f46-a7b5-5c787d02c930
right half,midfied,SM401773754,59ee1a18-dfb9-494f-a39d-02f97d7e0f2c
right half,midfied,SM604725438,dc7f0fc8-7127-4ddb-9606-bbd4dfe44dbc
left half,midfied,SM831586967,dcdcdbe8-72ba-47fa-9214-6b8d943acc61
left half,midfied,SM364268772,f956f013-344b-43ce-8414-bc519b284108
right half,midfied,SM652606196,92a29087-e5bb-44a9-b582-43e72fe29d54
right half,midfied,SM338502455,8c5da542-c20a-4a37-a87c-0bec9831c966
centre forward,striker,SM407128172,04fe9a06-521f-40d5-99c5-efdc58e46237
wing forward,striker,SM364023512,ce2d23b4-991c-46f1-87eb-e1011192ada6
centre forward,striker,SM929801279,9d901547-f404-4f3b-a887-a34fda5c8dc1
wing forward,striker,SM161501368,52412484-c9b2-4e36-9a5b-a366f2334694
centre forward,striker,SM388403971,bb700528-e20c-423a-99eb-ece9933b24ce
right back,defender,SM809856943,d270f352-9793-4050-a646-ee3961d30d59
centre back,defender,SM544279749,64bf02ec-0e76-4578-ad1f-ab14dcd03ef7
right back,defender,SM458972606,40aa278f-4279-4d03-b1b9-245b905a8806
right back,defender,SM719663554,68d1d966-2627-49bc-b234-0fc4ecf4583a
left back,defender,SM371961644,40b68c77-6c88-4eab-b702-5be48720ca4b
right back,defender,SM625449348,6553d3db-303a-4a5b-8135-13e6ade67bc7
right back,defender,SM902109335,825a531d-1231-43a9-a8df-f09afcad1a3e
centre back,defender,SM604563729,aeed584c-f7b8-4a1b-8ccd-983990b7f4b1
centre back,defender,SM855462745,2fb788bb-1d45-4b78-9677-dcb36c63df69
left back,defender,SM437148963,b5ab4ccc-e403-4492-95fb-8fc1899e0992
"",goalkeeper,SM486598411,3930436c-3aca-478e-8e95-7dfd974cd4e7
"",goalkeeper,SM344999899,052595b2-57a4-4fa2-a7e3-11bbcc5adea7
defensive midfielde,midfied,SM622845921,0de2f452-8a3c-424a-8585-2abd5cbf24cb
centre half,midfied,SM356505553,cc6f2337-8c75-49d8-ae69-2766d0f251f8
left half,midfied,SM718034533,01079508-f763-4f65-904a-9bd6ac00be2c
right half,midfied,SM547658102,8d79c619-54de-4bea-9767-54b315130d1c
centre half,midfied,SM537337711,a43a8b78-2391-4387-b45b-6fbb59af3902
right half,midfied,SM663409709,61c9e992-659a-43dc-b4dc-15ecfeb9684a
right half,midfied,SM273952350,87a3715b-ebaf-4f41-9b9d-abd7536271b3
right half,midfied,SM332579262,46d7864f-783e-4e19-862a-916a76a3548d
attack midfield,midfied,SM715411786,d93db051-194f-40cc-b0af-000518a7a0b6
left half,midfied,SM606612368,030f4967-893c-426c-8f75-61ad1d7a2754
centre forward,striker,SM443654530,e23994e8-175a-4de0-a140-a016fae9289d
wing forward,striker,SM647466748,648eac0e-f66e-4f80-bac9-661cfcb6e715
centre forward,striker,SM644020810,21ed035d-bb25-47be-899c-244b396b593b
wing forward,striker,SM198554316,9aa360ff-248f-42a4-b29d-c960e147f504
wing forward,striker,SM906509358,845b934f-3d24-4a36-a19d-7b8cc5ef3a30
centre back,defender,SM478218613,697cf51e-58d4-4933-9831-461113280997
centre back,defender,SM672820337,cef0609c-749c-4db3-b747-fa6a468ea011
centre back,defender,SM143084263,43380b23-e167-4959-af49-defe0c60e0d9
right back,defender,SM487269593,27486c5f-cd7e-4b1c-bc73-b4555c787fe9
centre back,defender,SM471330672,9cb3a796-03d0-4823-aa8b-eef5da931d15
left back,defender,SM860462547,0b4c0091-a217-4402-8d4d-4591ebc31ae9
left back,defender,SM713348183,01d09ed7-1d0a-4f7d-9ecf-0dad9e534301
left back,defender,SM834998702,0071820a-621d-44b6-a755-171d8acc6c5c
left back,defender,SM256394684,ceff161c-f6d9-42e6-bf02-c7929cfa6374
right back,defender,SM780461189,866a2885-454b-4fa6-b8b3-2a755710f17c
"",goalkeeper,SM243047272,04c917e1-4872-48a4-8672-9687acb37e34
"",goalkeeper,SM404675752,26a38cc2-4e98-4381-8876-b44779475b87
left half,midfied,SM647674402,64228a09-4ba5-4a7b-986e-6e5ffc721aa3
defensive midfielde,midfied,SM713892394,59d67617-2121-4c3a-b293-d287baf7f951
left half,midfied,SM891371837,cb82dda6-8f8e-4fd6-80f9-7900051d8bec
attack midfield,midfied,SM409437359,47b23e8c-dbc7-4a8d-bed1-acdca235cbb8
right half,midfied,SM339198125,0828bdef-c0cb-436e-b367-93d340d54cb0
attack midfield,midfied,SM380458023,d150e64c-b4cf-4305-8431-8e112ccdbbb3
defensive midfielde,midfied,SM410849018,bcb326ca-0657-4379-9a90-35570c7822b8
defensive midfielde,midfied,SM658886883,aa66fc42-be72-462c-8d69-eed0518f8170
defensive midfielde,midfied,SM187573007,8986c3bb-995c-4b49-9f09-0485adfb3afa
defensive midfielde,midfied,SM788969659,701b2a92-147b-4233-bb91-e91310881a66
wing forward,striker,SM800797339,55233fc6-64d2-456a-8758-78221e98da98
centre forward,striker,SM730962816,56faf9b1-17d3-4c16-9886-1ec70d5d1001
centre forward,striker,SM477963045,2678b3d4-11ac-4f2f-97d1-23fb4b6bc303
centre forward,striker,SM685896149,677d9f7f-5f43-457d-819b-4b75850c336a
centre forward,striker,SM991072729,7d1202a9-f9a7-483d-925a-61d82775a985
right back,defender,SM845657475,6f0caf95-f0bd-4615-804e-cabe1628a961
left back,defender,SM752922201,b01b7b5c-7339-4f82-9ace-98c7d4bb0d23
left back,defender,SM567780197,01d6ac42-dd5b-4ef4-bda6-0e0d7329656d
right back,defender,SM591660890,a5ba24a3-4ab1-4460-9d75-e67ad2118b6a
right back,defender,SM711829290,52104f4c-977f-4723-9d41-ad80f0b300d1
left back,defender,SM220928593,9294ff20-641a-497e-aabd-570c85b4e7ca
right back,defender,SM468237520,f860feaa-303b-42b8-88f6-8d2af02d442d
centre back,defender,SM712221293,963813f7-0c7a-455d-88b5-427edfd98b84
centre back,defender,SM334646853,5d860230-41e0-4d37-9bd1-61a1348fcffa
"",goalkeeper,SM749896285,7cd3f373-3f87-4d5e-ba91-86c4c2633915
"",goalkeeper,SM122161221,811a2c2c-4a23-44d9-a51b-5a51a2e54076
left half,midfied,SM142700511,ccbe7902-1507-47dd-a753-211a45bb16c3
left half,midfied,SM449287040,a98ffc9a-cee2-4e8a-8d08-d72e7998deb8
right half,midfied,SM725302013,a4ef3432-a5bd-4892-a5c9-d2a6257281f5
attack midfield,midfied,SM340452229,da57554b-cae8-4ad0-ba93-df9b675b7a8b
attack midfield,midfied,SM697129679,6b2170fa-4017-4a63-b508-197dfbb58f4a
attack midfield,midfied,SM429952964,843b52e5-3196-485c-9d5c-0f3c096b9414
defensive midfielde,midfied,SM677726136,a36125c6-b0ee-4f95-a4e4-e27aa5ea103d
left half,midfied,SM551213667,85c31fd7-ead0-4f9d-a963-a9566c72db12
defensive midfielde,midfied,SM792730453,27dc45d0-2d28-47a7-a330-90c0ffe9a482
centre forward,striker,SM396119273,e9cb87d0-fd83-44f3-a6cb-b0a7c2a22d8e
centre forward,striker,SM714723215,c3f0b92a-5622-41a8-90e5-625533ac4f45
wing forward,striker,SM493839790,f0679ea3-2535-4730-8c11-b6fdacabd462
wing forward,striker,SM748356157,4492a899-1a39-4a82-ab42-0cc8c3fe54e4
wing forward,striker,SM120727202,79111465-a754-455a-86ea-2df8255ff45a
centre back,defender,SM177658325,c8594400-0ba1-436d-be62-0e90655ac104
centre back,defender,SM685396153,d0ae2d98-df1f-4d59-b6e5-274810c518c7
right back,defender,SM824964946,6b0ba24f-f0b7-46a4-a301-3aa757070b0d
centre back,defender,SM870703492,3006fe9e-3917-4a8f-9b53-718ea3ff6d7b
left back,defender,SM212532846,5ff1dfac-6ade-4b38-a1bd-5e5322aeae82
right back,defender,SM385769746,0bfee3c6-aff5-4873-b0f1-7e42c72df359
right back,defender,SM193885024,b7bda534-dccc-496f-b7ae-7b2f52bbe475
right back,defender,SM545586358,0f28227f-208d-40dd-996e-97283f6f2e8a
centre back,defender,SM158848759,a23e2a0f-f813-4422-9f0b-bae644880bed
left back,defender,SM738749932,802b1e36-bf38-4403-ba0a-55d50115837f
"",goalkeeper,SM266243193,0d8bd5fe-583f-452b-9077-d062282e6f10
"",goalkeeper,SM140220013,13e4dee9-fb03-4ab1-a26d-ef29034e688d
"",goalkeeper,SM708626707,74abf04f-0656-4561-8259-67e1df0f75f4
defensive midfielde,midfied,SM979596848,c4d3a812-6877-4cb8-bd4f-c0394c810abc
centre half,midfied,SM114259499,e9703d60-cbaa-4b73-b571-ce5fb3a52c30
defensive midfielde,midfied,SM480105210,6377a542-356e-4d71-88ce-15993e4ff1d1
left half,midfied,SM831868500,91f43cad-9b76-41e3-8e69-6c62ad9996af
left half,midfied,SM329502798,d397994b-6cef-4fc4-9a58-1bde44f8301a
attack midfield,midfied,SM845639954,6471ddf3-012d-4660-af15-f003e1bd75bd
attack midfield,midfied,SM755551272,e00ba68b-985c-4bfe-a1e6-371b69d17fa2
attack midfield,midfied,SM191742843,1ab85b9c-b481-4ad2-a66c-cc2b4fb0668e
left half,midfied,SM947390112,4745c6cb-0483-4d30-b29a-10ca4f6dc8d8
right half,midfied,SM882761140,90f872cf-30e7-498a-bead-14de777a3177
centre forward,striker,SM848189947,16e6ead4-928a-4415-9d33-a293ce36bc50
centre forward,striker,SM194593297,0316b84c-4e2c-41ae-bf3d-9d6cb1548c50
wing forward,striker,SM133344180,700b0ebd-2b39-4aeb-b27c-55842d0d8388
wing forward,striker,SM528301487,e53cc3de-97d4-4cfe-bc8b-f16a7d26e216
centre forward,striker,SM412498346,615f0026-f45d-482a-ae05-4421bbbd1b58
centre forward,striker,SM697823509,040be0d0-8638-42cf-8134-a52b3aa8a09e
right back,defender,SM125682461,c7ddf517-9735-48fa-911d-22781f87938c
centre back,defender,SM932828260,ec2d903e-6688-4276-b856-3d0d1af94d82
left back,defender,SM146264169,824472be-f598-4045-a069-df44af6268be
right back,defender,SM465011907,150d9fc4-790e-4962-9191-0d666dea5a72
left back,defender,SM459252471,66a32b6c-12bb-48ab-a0f2-c0c8174cef24
left back,defender,SM700668524,4d33685f-1394-4599-a244-31e1fd473612
right back,defender,SM878033659,f9ea52e9-ace8-4578-9ba5-9a866d4d4341
centre back,defender,SM443513376,12b28d59-2700-4195-9fa4-bebe649e31bf
centre back,defender,SM247360968,3c3f5178-4d90-4caa-955f-21408c5b6eff
"",goalkeeper,SM901921211,f0690cf6-e20a-4f46-860e-c72be7028dd9
"",goalkeeper,SM686160421,b14b00dc-8063-4ba9-8908-4d992c86d305
attack midfield,midfied,SM337079951,4727fbf5-42fc-4b15-853e-4268d15251cc
defensive midfielde,midfied,SM386189035,5d468479-58e8-4458-9ac4-09c88e301277
defensive midfielde,midfied,SM856637494,14ab2b3c-8c90-4b31-9af2-8a0330885162
defensive midfielde,midfied,SM488806881,6c4269f1-66c1-4b92-8367-e001b4c17429
right half,midfied,SM159501960,d7223188-3d81-4b8c-ad82-c93de6d22d52
attack midfield,midfied,SM599437526,e828d7c9-4e9e-4d78-b669-ca57f6a93181
attack midfield,midfied,SM374390099,81dba500-cabb-4043-b530-66416bae7a79
centre half,midfied,SM427922980,e6a4f9e5-f517-4148-95cd-d09532ebbf4a
left half,midfied,SM790394653,78d60bff-d580-4941-8cec-d3eba5bf13a8
wing forward,striker,SM719568452,d10461bf-200f-41c2-8735-a302f40e0c0f
wing forward,striker,SM147501532,1d5f5209-b27e-49d6-bc98-6092eb2103b2
wing forward,striker,SM515322112,d00e1d90-e44f-40e4-87c1-45da0c49080d
wing forward,striker,SM643204736,b90d2006-4243-411b-83bf-8cdf60785892
centre forward,striker,SM441103434,9d2808ec-1d41-4030-9fd6-32787d32859c
right back,defender,SM328277182,0cba5559-73ea-4c41-b1b9-88b8f0ddf034
right back,defender,SM894315046,1e2fda59-7453-4ea0-8b65-e760798d848f
left back,defender,SM587116090,f9ffa66f-13eb-4df5-ba90-b231e9f3950f
left back,defender,SM129046145,8ad5d217-a942-4a06-968c-2ee07f2b5115
right back,defender,SM486263934,8f90891f-af7b-41c8-a3cc-01acb8b838ef
right back,defender,SM645029904,14f99741-c8dd-4c8d-83d6-9f1077bb2cce
centre back,defender,SM375386617,bb2f42af-3dfd-4f79-991c-ca661dfa9861
left back,defender,SM126037197,9cb4b523-3b73-40f2-9486-12ef24d88e0e
right back,defender,SM729892972,f5ddf909-2225-489a-b10a-e47d13e644d4
right back,defender,SM776662812,9e33a135-540e-4846-b11e-f1b176eead4e
"",goalkeeper,SM139723164,02f2e2b9-ed92-49df-a2e5-8edc1ba5e3ff
"",goalkeeper,SM173107221,763481e1-5709-48ec-936d-f3c60be866e3
"",goalkeeper,SM435421380,18247a4e-385e-40e3-ba30-80998e61192b
left half,midfied,SM847496807,f649ab59-eb04-4595-94a9-5e1460979e40
centre half,midfied,SM519163543,240ca493-6a55-4706-b207-cd2e25f29af6
centre half,midfied,SM591025828,92ce8f2b-cb31-4f0b-bbcf-abd921f53204
centre half,midfied,SM572259954,bfe7b9f3-5195-497a-8b6e-e71ad9036f81
defensive midfielde,midfied,SM707266161,10ed72d8-a2da-4bb4-a5e1-d272e0d98167
defensive midfielde,midfied,SM588285396,f097f2c9-32fc-49ee-a658-42c23655b84d
